campsites,year
"BC(5200m),IC(5800m),ABC(6500m),C1(7028m),C3(7790m),C3(8300m),Smt(22/05)",2005
"BC(10/04,5200m),ABC(19/04,6400m),C1(26/04,7040m),C2(05/05,7680m),C3(29/05,8210m),Smt(30/05,04/06)",2005
"BC(12/04,5200m),ABC(17/04,6450m),C1(24/04,7100m),C2(25/04,7500m),C3(02/06,7800m),C4(03/06,8300m),Smt(04/06)",2005
"BC(07/04,5200m),ABC(13/04,6400m),C1(19/04,7050m),C2(20/05,7700m),C3(21/05,8300m),Smt(30/05)",2005
"BC(09/05,5200m),ABC(10/05,6370m),C1(19/05,7045m),C2(30/05,7600m),C3(31/05,7850m),Smt(01/06)",2005
"BC(22/05,5200m),ABC(23/05,6300m),C1(29/05,7050m),C2(30/05,7600m),C3(04/06,8300m),Smt(05/06)",2005
"BC(22/04,5170m),ABC(27/04,6370m),C1(02/05,7000m),C2(02/06,7670m),C3(03/05,8200m),Smt(04-05/06)",2005
"BC(03/04,5200m),ABC(08/04,6400m),C1(19/04,7100m),C2(14/05,7700m),C3(28/05,8300m),Smt(29/05)",2005
"BC(04/04,5200m),ABC(12/04,6450m),C2(19/05,7700m),C3(20/05,8300m),Smt(21/05)",2005
"BC(26-27/03,5200m),ABC(14/04,6500m),C1(26/04,7020m),C2(27/04,7900m),C3(21/05,8300m),Smt(22/05)",2005
"BC(10/04,5200m),ABC(17/04,6400m),C1(21/04,7032m),C2(15/05,7800m),C3(16/05,8223m),Smt(17/05)",2006
"BC(10/04,5200m),ABC(15/04,6400m),C1(27/04,7000m),C2(15/05,7500m),C3(16/05,8000m),Smt(17/05)",2006
"BC(25/04),ABC(01/05,7100m),C1(14/05,7100m),C2(15/05,7660m),C3(16/05,8250m),Smt(17/05)",2006
"BC(05/04,5200m),ABC(6400m),C1(25/04,7100m),C2(13/05,7600m),C3(14/05,8200m),Smt(15/05)",2006
"BC(21/04,5200m),ABC(05/04,6500m),C1(28/04,7050m),C2(13/05,7800m),C3(14/05,8300m),Smt(15/05)",2006
"BC(05/04,5400m),ABC(13/04,6400m),C1(19/04,7000m),C2(01/05,7600m),C3(16/05,8300m),Smt(17/05)",2006
"SherpasBC(23/03,5141m),MbrsBC(05/04,5141m),ABC(13/04,6376m),C1(27/04,7024m),C2(10/05,7511m),C3(11/05,7806m),C4(13/05,8250m),Smt(30/04,14-15/05)",2006
"BC(05/04,5200m),ABC(14/04,6400m),C1(21/04,7000m),C2(10/05,7800m),C3(12/05,8100m),Smt(13/05)",2006
"BC(05/04,5200m),ABC(14/04,6400m),C1(19/04,7100m),C2(11/05,7700m),C3(17/05,8300m),Smt(18/05)",2006
"BC(03/04,5300m),ABC(6400m),C1(11/05,7028m),C2(13/05,8300m),Smt(14/05)",2006
"BC(28/04,5200m),ABC(01/05,6400m),C1(08/05,7100m),C2(23/05,7700m),C3(24/05,8300m),Smt(25/05)",2006
"BC(09/04,5200m),ABC(16/04,6400m),C1(7010m),C2(7500m),C3(15/05,8100m),Smt(16/05)",2006
"BC(17/04,5300m),ABC(22/04,6400m),C2(16/05,7600m),C3(17/05,8300m),Smt(18/05)",2006
"BC(08/04),ABC(12/04,6400m),C1(24/04,7050m),C2(26/04,7700m),xxx(18/05,8100m) 2nd Summit bid: C1(20/05,7050m),C2(23/05,7700m),C3(24/05,8300m),Smt(18/05)",2006
"BC(05/04),ABC(15/04,6400m),C1(15/04,7000m),C2(08/05,7700m?),C3(10/05,8300m),Smt(11/05)",2006
"BC(06/04,5200m),ABC(12/04,6400m),C1(24/04,7000m),C2(15/04,7900m),C3(16/04,8300m),Smt(17/05)",2006
"BC(04/04,5300m),ABC(09/05,6500m),C1(11/05,7000m),C2(15/05,7880m),Smt(25/05)",2006
"BC(27/04,5200m),ABC(30/04,6400m),C1(07/05,7000m),C2(16/05,8000m),Smt(26/05)",2006
"BC(10/04,5200m),ABC(22/04,6400m),C1(24/04,7100m),C2(15/04,7500m),C3(17/05,7900m),Smt(18/05)",2006
"BC(12/04),C1(22/04,7100m),C2(01/05,7500m),C3(16/05,8300m),Smt(17/05)",2006
"BC(10/04,5200m),ABC(22/04,6400m),C1(03/05,7000m),C2(15/05,7600m),C3(16/05,8300m),Smt(17/05)",2006
"BC(10/04,5200m),ABC(17/04,6400m),C1(21/04,7000m),C2(05/05,7500m),C3(15/05,7900m),Smt(17/05)",2006
"BC(10/04,5200m),ABC(17/04,6400m),C1(27/04,7000m),C2(15/05,7500m),C3(16/05,8000m),Smt(17-18,21/05)",2006
"BC(05/04,6400m),ABC(12/04,6400m),C1(21/04,7000m),C2(16/05,7800m),C3(17/05,8000m),Smt(17,22/05)",2006
"BC(01/05,5200m),ABC(03/05,6400m),C1(08/05,7100m),C2(15/05,7900m),C3(16/05,8300m),Smt(17/05)",2006
"BC(26/04,5400m),ABC(30/04,6400m),C1(02/05,7000m),C2(16/05,7800m),C3(17/05,8350m),Smt(18/05)",2006
"BC(08/04,5150m),ABC(22/04,6400m),C1(26/04,7050m),C2(06/05,7700m),C3(15/05,8300m),Smt(16/05)",2006
"BC(08/05,5300m),ABC(11/05,6300m),C2(15/05,7700m),C3(16/05,8300m),Smt(17/05)",2006
"BC(18/04,5200m),ABC(25/04,6440m),C1(03/05,7030m),C2(16/05,7500m),C3(17/05,8300m),Smt(18/05)",2006
"BC(05/04,5200m),ABC(13/04,6400m),C1(26/04,7000m),C2(02/05,7700m),C3(15/05,8300m),Smt(16/03)",2006
"BC(10/04,5200m),C1(17/04,6400m),C1(28/04,7000m),C2(30/04,7500m),C3(17/05,8300m),Smt(18/05)",2006
"BC(16/04,5000m),ABC(24/04,6400m),C1(01/05,7000m),C2(05/05,7700m),C3(17/05,8300m),Smt(18/05)",2006
